Mfg_Part_Num,decision,confidence,reasons
KDFM404KPS,REVIEW,0.24,"brand resolved via live search on the model number (no token in Part_Desc): found KitchenAid® at https://www.kitchenaid.com/owners-center-pdp.KDFM404KPS.html | brand style/manufacturer for KITCHENAID is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
PDSH4816AF,REVIEW,0.4,"brand resolved via live search on the model number (no token in Part_Desc): found FRIGIDAIRE® at https://www.frigidaire.com/en/p/kitchen/dishwashers/PDSH4816AF | manufacturer source unreachable (timed out (likely bot-management block)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
PDT715SYVFS,REVIEW,0.24,"brand style/manufacturer for GE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
LDPH5554D,REVIEW,0.24,"brand style/manufacturer for LG is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
WDTS7024RZ,AUTO_PUBLISH,0.78,brand resolved via live search on the model number (no token in Part_Desc): found Whirlpool® at https://www.whirlpool.ca/en_ca/kitchen/dishwasher-and-cleaning/dishwashers/built-in-hidden-control-console/p.eco-series-quiet-dishwasher-with-a-washing-3rd-rack-and-water-repellent-silverware-basket.wdts7024rz.html | Series sourced from https://learnwhirlpool.com/smartsearchresults?searchtext=WDTS7024RZ (quote verified byte-for-byte) | Size sourced from https://learnwhirlpool.com/smartsearchresults?searchtext=WDTS7024RZ (quote verified byte-for-byte) | Maximum Height sourced from https://learnwhirlpool.com/smartsearchresults?searchtext=WDTS7024RZ (quote verified byte-for-byte) | Sound Level sourced from https://learnwhirlpool.com/smartsearchresults?searchtext=WDTS7024RZ (quote verified byte-for-byte)
PDD415PYYFS,REVIEW,0.24,"brand style/manufacturer for GE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
KDTS424SBE,REVIEW,0.24,"brand style/manufacturer for KITCHENAID is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
KDTS324SPS,REVIEW,0.24,"brand style/manufacturer for KITCHENAID is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
KDPS624SJP,REVIEW,0.24,"brand resolved via live search on the model number (no token in Part_Desc): found KitchenAid® at https://www.kitchenaid.com/major-appliances/dishwashers/integrated-control/p.360%C2%B0-max-jets-third-rack-dishwasher-with-advanced-prodry-system%2C-44-dba.kdps624sjp.html?productcategory=unset | brand style/manufacturer for KITCHENAID is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
KDTS624SBE,REVIEW,0.24,"brand resolved via live search on the model number (no token in Part_Desc): found KitchenAid® at https://www.kitchenaid.com/owners-center-pdp.KDTS624SBE0.html | brand style/manufacturer for KITCHENAID is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
DF7004WE,REVIEW,0.24,"Classpath for Dryers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
DR7004BE,REVIEW,0.24,"Classpath for Dryers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
